121921_134|COMPLETED|1460|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-9|2026-09-11T13:10:32|2026-09-11T13:34:52
121921_135|COMPLETED|1460|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-9|2026-09-11T13:10:32|2026-09-11T13:34:52
121921_136|COMPLETED|1460|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-9|2026-09-11T13:10:32|2026-09-11T13:34:52
121921_137|COMPLETED|1460|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-9|2026-09-11T13:10:32|2026-09-11T13:34:52
121921_138|COMPLETED|1497|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-10|2026-09-11T13:10:32|2026-09-11T13:35:29
121921_139|COMPLETED|1496|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-10|2026-09-11T13:10:32|2026-09-11T13:35:28
121921_140|COMPLETED|1497|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-10|2026-09-11T13:10:32|2026-09-11T13:35:29
121921_141|COMPLETED|1497|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-10|2026-09-11T13:10:32|2026-09-11T13:35:29
121921_142|COMPLETED|1469|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-11|2026-09-11T13:10:32|2026-09-11T13:35:01
121921_143|COMPLETED|1469|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-11|2026-09-11T13:10:32|2026-09-11T13:35:01
121921_144|COMPLETED|1469|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-11|2026-09-11T13:10:32|2026-09-11T13:35:01
121921_145|COMPLETED|1469|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-11|2026-09-11T13:10:32|2026-09-11T13:35:01
121921_146|COMPLETED|1482|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-12|2026-09-11T13:10:32|2026-09-11T13:35:14
121921_147|COMPLETED|1482|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-12|2026-09-11T13:10:32|2026-09-11T13:35:14
121921_148|COMPLETED|1482|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-12|2026-09-11T13:10:32|2026-09-11T13:35:14
121921_149|COMPLETED|1482|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-12|2026-09-11T13:10:32|2026-09-11T13:35:14
121921_150|COMPLETED|1468|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-13|2026-09-11T13:10:32|2026-09-11T13:35:00
121921_151|COMPLETED|1468|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-13|2026-09-11T13:10:32|2026-09-11T13:35:00
121921_152|COMPLETED|1468|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-13|2026-09-11T13:10:32|2026-09-11T13:35:00
121921_153|COMPLETED|1469|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-13|2026-09-11T13:10:32|2026-09-11T13:35:01
121921_154|COMPLETED|1486|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-14|2026-09-11T13:10:32|2026-09-11T13:35:18
121921_155|COMPLETED|1486|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-14|2026-09-11T13:10:32|2026-09-11T13:35:18
121921_156|COMPLETED|1486|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-14|2026-09-11T13:10:32|2026-09-11T13:35:18
121921_157|COMPLETED|1486|2|billing=2,cpu=2,mem=8G,node=1|0:0|worker-single-14|2026-09-11T13:10:32|2026-09-11T13:35:18
